id, type, gender, skin tone, count, accessories
1000, Human, Female, Medium, 3, Crazy Hair / Green Eye Shadow / Earring
1001, Human, Non-Binary (???), Light, 2, Blonde Short / Shadow Beard
1002, Human, Female, Dark, 4, Dark Hair / Purple Eye Shadow / Earring / Clown Nose
1003, Human, Male, Medium, 2, Do-rag / Clown Nose
1004, Human, Female, Light, 2, Purple Lipstick / Big Shades
1005, Human, Female, Dark, 3, Blonde Short / Regular Shades / Earring
1006, Human, Male, Medium, 3, Crazy Hair / VR / Muttonchops
1007, Human, Female, Light, 3, Straight Hair / Hot Lipstick / Horned Rim Glasses
1008, Human, Non-Binary (???), Medium, 3, Crazy Hair / Black Lipstick / Nerd Glasses
1009, Human, Non-Binary (???), Dark, 4, Wild White Hair / Hot Lipstick / Muttonchops / Medical Mask
1010, Human, Female, Albino, 1, Cowboy Hat
1011, Human, Male, Albino, 2, Bandana / Big Beard
1012, Human, Female, Dark, 2, Pigtails / Clown Nose
1013, Human, Male, Medium, 3, Shaved Head / VR / Normal Beard Black
1014, Human, Female, Dark, 2, Stringy Hair / Mole
1015, Human, Female, Albino, 3, Pink With Hat / Buck Teeth / Purple Eye Shadow
1016, Human, Female, Dark, 2, Cap Forward / Regular Shades
1017, Human, Female, Dark, 3, Headband / Clown Eyes Green / Mole
1018, Human, Female, Light, 2, Orange Side / Green Eye Shadow
1019, Human, Female, Dark, 3, Mohawk Thin / 3D Glasses / Earring
1020, Human, Male, Medium, 3, Fedora / VR / Muttonchops
1021, Human, Female, Dark, 3, Straight Hair / Hot Lipstick / Regular Shades
1022, Human, Male, Light, 3, Do-rag / Classic Shades / Front Beard Dark
1023, Human, Female, Medium, 3, Half Shaved / Hot Lipstick / Horned Rim Glasses
1024, Human, Female, Light, 3, Headband / Purple Lipstick / Blue Eye Shadow
1025, Human, Female, Medium, 3, Clown Hair Green / Frown / Earring
1026, Human, Female, Medium, 2, Top Hat / Earring
1027, Human, Female, Medium, 3, Blonde Short / Buck Teeth / Cigarette
1028, Human, Male, Light, 2, Peak Spike / Clown Eyes Green
1029, Human, Female, Medium, 3, Straight Hair Blonde / Blue Eye Shadow / Choker
1030, Human, Female, Dark, 3, Mohawk Dark / Purple Lipstick / Big Shades
1031, Human, Female, Dark, 2, Fedora / Earring
