id, type, gender, skin tone, count, accessories
2000, Human, Female, Light, 3, Wild White Hair / Hot Lipstick / Choker
2001, Human, Male, Medium, 2, Straight Hair Dark / Classic Shades
2002, Human, Male, Light, 3, Fedora / Buck Teeth / Horned Rim Glasses
2003, Human, Female, Light, 3, Tassle Hat / Classic Shades / Earring
2004, Human, Male, Medium, 3, Mohawk / Classic Shades / Mustache
2005, Human, Male, Dark, 2, Wild White Hair / Small Shades
2006, Human, Male, Medium, 3, Hoodie / Horned Rim Glasses / Mustache
2007, Human, Male, Light, 3, Cap / Eye Patch / Front Beard Dark
2008, Human, Male, Medium, 3, Peak Spike / Eye Patch / Chinstrap
2009, Human, Male, Medium, 3, Frumpy Hair / Eye Patch / Normal Beard
2010, Human, Female, Light, 4, Clown Hair Green / Black Lipstick / Clown Eyes Blue / Earring
2011, Human, Male, Albino, 3, Peak Spike / Frown / Earring
2012, Human, Male, Dark, 3, Cap / Luxurious Beard / Earring
2013, Human, Female, Medium, 3, Frumpy Hair / 3D Glasses / Clown Nose
2014, Human, Male, Light, 2, Mustache / Pipe
2015, Human, Female, Dark, 3, Wild White Hair / Black Lipstick / Welding Goggles
2016, Human, Male, Dark, 3, Knitted Cap / Luxurious Beard / Clown Nose
2017, Human, Female, Light, 3, Dark Hair / 3D Glasses / Medical Mask
2018, Human, Female, Dark, 4, Stringy Hair / Buck Teeth / Clown Eyes Blue / Cigarette
2019, Human, Female, Dark, 2, Top Hat / Purple Eye Shadow
2020, Human, Female, Medium, 4, Cap / Purple Lipstick / Earring / Mole
2021, Human, Male, Medium, 3, Peak Spike / 3D Glasses / Muttonchops
2022, Human, Female, Light, 2, Clown Hair Green / Welding Goggles
2023, Human, Female, Medium, 2, Black Lipstick / Clown Eyes Green
2024, Human, Female, Albino, 4, Blonde Short / Black Lipstick / Silver Chain / Earring
2025, Human, Female, Light, 2, Shaved Head / Black Lipstick
2026, Human, Male, Light, 3, Peak Spike / Medical Mask / Earring
2027, Human, Female, Dark, 3, Red Mohawk / Hot Lipstick / 3D Glasses
2028, Ape, ???, , 2, Top Hat / Earring
2029, Human, Female, Light, 2, Blonde Short / Small Shades
2030, Human, Female, Dark, 2, Purple Eye Shadow / Mole
2031, Human, Female, Medium, 3, Wild Hair / Big Shades / Vape
2032, Human, Male, Medium, 4, Police Cap / Big Shades / Cigarette / Earring
2033, Human, Female, Dark, 3, Straight Hair Dark / Buck Teeth / Big Shades
2034, Human, Female, Light, 3, Mohawk Dark / Classic Shades / Mole
2035, Human, Female, Dark, 2, Knitted Cap / Frown
2036, Human, Female, Light, 2, Headband / Small Shades
2037, Human, Female, Dark, 3, Mohawk Dark / Blue Eye Shadow / Earring
2038, Human, Female, Albino, 2, Cowboy Hat / VR
2039, Zombie, ???, , 3, Peak Spike / 3D Glasses / Shadow Beard
2040, Human, Male, Light, 3, Knitted Cap / Small Shades / Mustache
2041, Human, Female, Albino, 2, Wild Blonde / Purple Eye Shadow
2042, Human, Female, Medium, 4, Top Hat / Purple Lipstick / Clown Eyes Blue / Medical Mask
2043, Human, Male, Medium, 3, Police Cap / Frown / Eye Patch
2044, Human, Male, Light, 4, Mohawk / Smile / VR / Chinstrap
2045, Human, Female, Albino, 3, Tassle Hat / Purple Lipstick / Clown Eyes Green
2046, Human, Female, Dark, 2, Blonde Bob / Frown
2047, Human, Female, Light, 5, Straight Hair / Hot Lipstick / Earring / Mole / Clown Nose
2048, Human, Female, Light, 3, Top Hat / Classic Shades / Medical Mask
2049, Human, Female, Light, 3, Red Mohawk / Hot Lipstick / Clown Eyes Blue
2050, Human, Female, Light, 2, Do-rag / 3D Glasses
2051, Human, Female, Medium, 3, Tassle Hat / Big Shades / Cigarette
2052, Human, Female, Albino, 2, Pigtails / Green Eye Shadow
2053, Human, Female, Light, 3, Blonde Short / Hot Lipstick / Classic Shades
2054, Human, Female, Light, 4, Clown Hair Green / Frown / Cigarette / Spots
2055, Human, Female, Dark, 3, Crazy Hair / Purple Eye Shadow / Earring
2056, Human, Female, Light, 3, Clown Hair Green / Purple Lipstick / Clown Nose
2057, Human, Male, Dark, 2, Horned Rim Glasses / Earring
2058, Human, Male, Dark, 3, Messy Hair / 3D Glasses / Muttonchops
