id, type, gender, skin tone, count, accessories
8000, Human, Female, Albino, 2, Orange Side / Big Shades
8001, Human, Female, Albino, 3, Red Mohawk / Pipe / Mole
8002, Human, Female, Dark, 3, Headband / Black Lipstick / Cigarette
8003, Human, Female, Medium, 4, Do-rag / Smile / Classic Shades / Earring
8004, Human, Female, Dark, 3, Headband / Black Lipstick / Mole
8005, Human, Male, Light, 2, Police Cap / Pipe
8006, Human, Female, Medium, 3, Clown Hair Green / Nerd Glasses / Cigarette
8007, Human, Non-Binary (???), Dark, 3, Police Cap / Luxurious Beard / Earring
8008, Human, Female, Light, 3, Dark Hair / Black Lipstick / Nerd Glasses
8009, Human, Female, Light, 3, Cap Forward / Purple Lipstick / Big Shades
8010, Human, Male, Medium, 2, Regular Shades / Earring
8011, Human, Female, Medium, 4, Wild Hair / Black Lipstick / Clown Eyes Blue / Mole
8012, Human, Female, Light, 3, Headband / Blue Eye Shadow / Vape
8013, Human, Male, Medium, 3, Wild White Hair / Regular Shades / Mole
8014, Human, Female, Medium, 3, Cap Forward / Hot Lipstick / Clown Eyes Green
8015, Human, Male, Medium, 2, Bandana / Clown Nose
8016, Human, Male, Albino, 2, Vampire Hair / Normal Beard Black
8017, Human, Male, Medium, 3, Mohawk Thin / Eye Patch / Normal Beard
8018, Human, Female, Medium, 3, Blonde Bob / Black Lipstick / Clown Eyes Blue
8019, Human, Female, Light, 4, Mohawk Dark / Purple Lipstick / Silver Chain / Earring
8020, Human, Female, Medium, 3, Blonde Bob / Buck Teeth / Purple Eye Shadow
8021, Human, Male, Medium, 3, Knitted Cap / Eye Patch / Shadow Beard
8022, Human, Female, Medium, 3, Wild White Hair / Hot Lipstick / Cigarette
8023, Human, Female, Dark, 4, Wild White Hair / Hot Lipstick / Vape / Mole
8024, Human, Female, Dark, 2, Wild White Hair / Frown
8025, Human, Female, Light, 3, Headband / Smile / Cigarette
8026, Human, Female, Light, 3, Shaved Head / Hot Lipstick / Clown Eyes Blue
8027, Human, Female, Dark, 4, Tiara / Purple Lipstick / Purple Eye Shadow / Mole
8028, Human, Male, Medium, 2, Pigtails / Earring
8029, Alien, ???, , 3, Bandana / 3D Glasses / Earring
8030, Human, Male, Light, 3, Wild Hair / Clown Eyes Green / Front Beard Dark
8031, Human, Female, Albino, 2, Stringy Hair / Green Eye Shadow
8032, Human, Female, Dark, 2, Straight Hair / Rosy Cheeks
8033, Human, Female, Dark, 2, Knitted Cap / Horned Rim Glasses
8034, Human, Female, Dark, 2, Clown Hair Green / Green Eye Shadow
8035, Human, Male, Light, 3, Cap / Eye Mask / Normal Beard Black
8036, Human, Female, Medium, 3, Pigtails / Purple Eye Shadow / Silver Chain
8037, Human, Male, Medium, 2, Vampire Hair / Nerd Glasses
8038, Human, Female, Light, 2, Cowboy Hat / Clown Eyes Green
8039, Human, Male, Medium, 3, Stringy Hair / VR / Earring
8040, Human, Female, Medium, 4, Wild Blonde / Nerd Glasses / Cigarette / Earring
8041, Human, Female, Light, 4, Mohawk Thin / Purple Lipstick / Blue Eye Shadow / Earring
8042, Human, Female, Dark, 3, Orange Side / Purple Lipstick / Clown Eyes Green
8043, Human, Non-Binary (???), Light, 3, Police Cap / VR / Normal Beard Black
8044, Human, Female, Dark, 3, Blonde Short / Purple Lipstick / Vape
8045, Human, Male, Albino, 2, Wild White Hair / Cigarette
8046, Human, Female, Medium, 3, Blonde Bob / Clown Eyes Green / Cigarette
8047, Human, Female, Medium, 3, Red Mohawk / Blue Eye Shadow / Earring
8048, Human, Male, Light, 2, Bandana / Front Beard
8049, Human, Female, Albino, 4, Knitted Cap / Purple Lipstick / Blue Eye Shadow / Clown Nose
8050, Human, Female, Dark, 3, Tassle Hat / Nerd Glasses / Earring
8051, Human, Male, Dark, 3, Cap / Big Shades / Cigarette
8052, Human, Female, Light, 3, Knitted Cap / Hot Lipstick / Nerd Glasses
8053, Human, Non-Binary (???), Medium, 2, Half Shaved / Shadow Beard
8054, Human, Female, Dark, 4, Cap Forward / Hot Lipstick / Clown Eyes Green / Medical Mask
8055, Human, Female, Light, 3, Pigtails / Horned Rim Glasses / Pipe
8056, Human, Male, Medium, 2, Clown Eyes Blue / Normal Beard Black
8057, Human, Female, Dark, 2, Orange Side / Green Eye Shadow
8058, Human, Female, Light, 3, Cowboy Hat / Black Lipstick / Horned Rim Glasses
8059, Human, Male, Light, 3, Peak Spike / Nerd Glasses / Luxurious Beard
8060, Human, Female, Light, 3, Vampire Hair / Black Lipstick / Welding Goggles
8061, Human, Male, Dark, 3, Mohawk Thin / Big Shades / Shadow Beard
8062, Human, Male, Light, 2, Mohawk Dark / Frown
8063, Human, Male, Medium, 3, Wild Hair / Eye Patch / Clown Nose
8064, Human, Female, Light, 3, Crazy Hair / Clown Eyes Blue / Earring
8065, Human, Female, Medium, 2, Red Mohawk / Medical Mask
8066, Human, Female, Albino, 2, Crazy Hair / Blue Eye Shadow
8067, Human, Male, Light, 3, Do-rag / Big Shades / Mole
8068, Human, Male, Albino, 2, Messy Hair / Eye Patch
8069, Human, Female, Dark, 3, Stringy Hair / Classic Shades / Cigarette
8070, Human, Male, Dark, 4, Mohawk Thin / Normal Beard / Gold Chain / Earring
