id, face, hat, clothes
5000, stunned, candle, shirt white
5001, angry cute, beret pink, combat green
5002, tired, bucket hat tan, shirt white
5003, beard pirate, beanie blue, tshirt blue
5004, sunglasses yellow, mullet blonde, bandana purple
5005, smirk, wreath, buttondown red flannel
5006, zombie, crown fire, hoodie red
5007, ninja blue, helm silver, tanktop sailor blue
5008, double face, cowboy brown, ninja blue
5009, mummy, helm army, robe red
5010, mononoke, bucket hat green, knight leather
5011, mononoke, hat white, shirt bowtie
5012, glasses funny, knight black, viking brown
5013, angry scar, crown gold, shirt bowtie
5014, three eyes, sunhat tan, lederhosen
5015, derp, mohawk green, tanktop pink
5016, uwu, admiral, punk
5017, uwu, knight blue, tshirt green
5018, dizzy, antlers, tanktop orange
5019, mummy, flower pink, lederhosen
5020, face face, deepsea bronze, ninja blue
5021, beard pirate, afro black, work blue
5022, mummy, astro, epaulette black
5023, angry, flower blue, bandana green
5024, grin, helm biker, pirate black
5025, sunglasses heart, pirate red, tshirt pink
5026, rich, mullet blonde, robe king
5027, dizzy, afro brown, robe blue
5028, beard pirate, antlers, tshirt pink
5029, sunglasses cowboy, candle, bandana red
5030, glasses funny, horns, labcoat
5031, sunglasses cool, mohawk green, ninja red
5032, angry, unicorn horn, buttondown blue flannel
5033, glasses, ninja blue, overalls blue
5034, happy, arrowhead, buttondown tan
5035, wink, halo, knight leather
5036, ninja black, cowboy brown, bandana red
5037, glossy, prince, shirt yellow
5038, angry, cupcake, work red
5039, beard pirate, beanie orange, bandana purple
5040, rich, beret green, buttondown green
5041, sunglasses heart, beret green, buttondown black flannel
5042, derp, beanie blue, tanktop white
5043, sunglasses cool, beanie orange, baseball red
5044, ditto, sunhat black, viking navy
5045, sunglasses blue, beret red, buttondown green
5046, sunglasses squad, ninja black, tanktop white
5047, ninja black, bow, overalls yellow
5048, angry scar, beret red, overalls flannel
5049, pixel, beret red, punk
5050, rich, sunhat white, buttondown green
5051, derp, costume dragon, buttondown blue flannel
5052, glasses funny, piercings, robe blue
5053, glasses funny, bucket hat green, winter red
5054, sunglasses cowboy, pirate red, shirt white
