id, face, hat, clothes
1000, mononoke, hat white, robe red
1001, shocked, mullet blonde, toga
1002, tvface xp, tvhead grey, cowboy black
1003, angry scar, mullet brown, tshirt yellow
1004, unamused, mullet brown, sweater pink
1005, zombie, arrowhead, winter red
1006, glossy, prince, viking navy
1007, angry cute, beret green, buttondown green
1008, sunglasses heart, hat black, nurse
1009, glasses, beret black, hoodie purple
1010, glossy, mohawk purple, bandana red
1011, sunglasses cool, sushi, sweater black
1012, sunglasses heart, prince, overalls pink
1013, glossy, bucket hat tan, shirt white
1014, pixel, beanie red, buttondown tan
1015, double face, bucket hat blue, overalls pink
1016, ninja black, knight red, knight leather
1017, uwu, bucket hat green, tshirt pink
1018, angry, beanie red, robe red
1019, sunglasses blue, beanie blue, tanktop sailor blue
1020, sunglasses yellow, hat black, bandana purple
1021, zombie, helm bronze, ninja black
1022, zombie, candle, buttondown black flannel
1023, glasses, wreath flowers, sweater black
1024, ditto, beret red, bandana green
1025, angry scar, afro black, ninja black
1026, happy cute, apple, tshirt pink
1027, happy cute, pirate black, overalls blue
1028, unamused, antlers, tanktop orange
1029, owo, hat white, work red
1030, angry scar, helm bronze, winter red
1031, wink, afro rainbow unicorn, sweater black
1032, smirk, admiral pink, tshirt pink
1033, glasses, beret red, hoodie red
1034, sunglasses heart, arrowhead, astro
1035, sunglasses blue, bucket hat tan, bandana red
1036, angry, helm silver, robe white
1037, glasses, bucket hat tan, bandana green
1038, uwu, wreath, sweater orange
1039, rich, pirate black, tshirt pink
1040, sunglasses yellow, tvhead purple, shirt yellow
1041, smirk, mullet brown, tshirt yellow
1042, ninja red, flower blue, overalls blue
1043, hearts, hat visor blue, toga
1044, zombie, bucket hat tan, tshirt pink
1045, three eyes, knight blue, tanktop sailor black
1046, beard tan, wreath, tanktop sailor blue
1047, sunglasses pixel, flower blue, baseball red
1048, ninja black, astro fishbowl, monk
1049, uwu, antlers, tanktop pink
1050, three eyes, bucket hat white, tiger
1051, beard brown, mullet brown, shirt bowtie
1052, three eyes, ninja red, winter red
1053, happy cute, mullet brown, sweater orange
1054, stunned, wreath, tanktop sailor black
1055, grin, piercings, tshirt yellow
1056, grin, mohawk green, tshirt yellow
1057, sunglasses heart, horns, deepsea bronze
1058, hearts, helm silver, sweater green chain
1059, zombie, beret black, sweater pink
1060, sunglasses yellow, candle, tshirt red
1061, dizzy, halo fire, tanktop tattoo
1062, ditto, hat white, buttondown black flannel
1063, hearts, flower blue, astro orange
1064, ninja black, antlers, bandana green
1065, dizzy, piercings, tshirt green
1066, ditto, halo, bandana purple
1067, sunglasses squad, wreath, tanktop orange
1068, happy cute, beanie red, shirt yellow
1069, ninja blue, arrowhead, work blue
1070, shocked, tvhead purple, epaulette white
1071, double face, bucket hat tan, tshirt green
1072, sunglasses pixel, nurse, overalls yellow
1073, angry cute, beanie red, work red
1074, grin, mohawk green, viking navy
1075, beard tan, sunhat tan, tshirt yellow
1076, sunglasses heart, helm bronze, robe white
1077, owo, sunhat white, epaulette white
1078, owo, bucket hat green, tanktop sailor blue
1079, three eyes, astro cheeks, overalls red
1080, tired, headband blue, hoodie black
1081, beard brown, mohawk green, tshirt blue
1082, derp, piercings, gown black
1083, angry cute, hat visor yellow, buttondown black flannel
1084, rich, bucket hat white, shirt bowtie
1085, uwu, beret green, tshirt yellow
1086, ninja blue, beret red, buttondown blue flannel
1087, sunglasses cool, headband blue, hoodie black
1088, beard tan, candle, buttondown green
1089, shocked, flower red, astro
1090, angry, cupcake, tshirt blue
1091, sunglasses yellow, mohawk purple, sweater black
1092, unamused, afro black, tshirt white
1093, sunglasses pixel, afro brown, costume hotdog
1094, beard tan, bucket hat tan, baseball blue
1095, mummy, flower pink, tanktop sailor blue
1096, face face, horns, pirate black
1097, ninja red, admiral pink, costume dragon
1098, sunglasses pixel, helm army, tanktop pink
1099, ninja blue, antlers, ninja blue
1100, unamused, sunhat white, baseball blue
1101, happy cute, cowboy black, cowboy black
1102, glasses funny, crown gold, winter red
1103, angry cute, horns, bandana red
1104, angry scar, beanie blue, overalls red
1105, wink, wreath, work blue
1106, stunned, arrowhead, hoodie black
1107, unamused, visor green, overalls flannel
1108, ditto, sunhat tan, tshirt metal
1109, stunned, cowboy black, combat green
1110, derp, flower pink, tshirt yellow
1111, ditto, headband blue, overalls flannel
1112, beard brown, ninja black, tanktop white
1113, three eyes, sushi, astro
1114, sunglasses yellow, hat white, buttondown blue flannel
1115, ditto, piercings, overalls blue
1116, sunglasses squad, knight red, pirate black
1117, ditto, beanie black, overalls flannel
1118, beard tan, visor green, work blue
1119, double face, candle, tanktop sailor black
1120, uwu, headband red, chain
1121, rich, mullet blonde, shirt yellow
1122, three eyes, flower pink, buttondown red flannel
1123, smirk, piercings, tanktop sailor red
1124, tired, bucket hat tan, baseball red
1125, mummy, sunhat tan, hoodie purple
1126, happy cute, crown black, sweater green chain
1127, happy, bucket hat green, robe white
1128, happy, hat visor blue, overalls blue
1129, smirk, flower blue, pirate black
1130, stunned, beret green, buttondown black flannel
1131, stunned, cowboy black, astro orange
1132, grin, mullet blonde, winter red
1133, glasses, beanie blue, costume dragon
1134, happy cute, piercings, winter blue
1135, three eyes, hat visor yellow, tanktop pink
1136, smirk, ninja blue, bandana red
1137, sunglasses heart, bucket hat tan, sweater black
1138, uwu, candle, buttondown red flannel
1139, uwu, visor green, labcoat
1140, glasses, crown fire, robe king
1141, beard tan, bucket hat tan, sweater black
1142, happy cute, headband blue, overalls blue
1143, wink, beanie red, tanktop orange
1144, glasses, crown fire, robe red
1145, ninja blue, pirate black, baseball blue
1146, derp, visor green, bandana green
1147, double face, visor green, knight
1148, shocked, candle, bandana green
1149, smirk, headband blue, robe red
1150, angry, mullet brown, shirt yellow
1151, ninja red, hat white, hoodie black
1152, ninja blue, sunhat tan, tanktop sailor blue
1153, zombie, wreath, work blue
1154, angry cute, headband red, gown purple
1155, sunglasses pixel, ninja black, gown black
1156, sunglasses squad, halo fire, mononoke
1157, tired, dutch, robe blue
1158, angry scar, hat visor yellow, baseball red
1159, hearts, bucket hat tan, shirt yellow
1160, angry scar, bucket hat green, buttondown blue flannel
1161, dizzy, flower blue, work blue
1162, double face, bow, sweater green chain
1163, glossy, headband blue, sweater pink
1164, angry scar, cupcake, shirt yellow
1165, sunglasses cowboy, sunhat white, tanktop tattoo
1166, wink, bucket hat tan, shirt white
1167, uwu, beret green, tanktop sailor red
1168, beard pirate, apple, buttondown green
1169, sunglasses cool, flower red, ninja blue
1170, sunglasses blue, beret pink, tanktop white
1171, sunglasses heart, beret pink, tanktop orange
1172, ninja red, nurse, deepsea bronze
