id, face, hat, clothes
8000, double face, knight red, overalls pink
8001, angry cute, knight blue, gown purple
8002, sunglasses pixel, beanie red, buttondown blue flannel
8003, beard brown, beret red, tanktop orange
8004, rich, wreath, tshirt red
8005, face face, headband red, winter red
8006, double face, afro black, sweater green chain
8007, derp, crown fire, baseball red
8008, tired, flower red, tanktop sailor blue
8009, dizzy, flower pink, bandana purple
8010, uwu, helm biker, sweater orange
8011, ditto, sushi, hoodie purple
8012, owo, beret green, robe red
8013, tired, ninja black, tanktop tattoo
8014, tired, hat white, viking navy
8015, sunglasses cool, mohawk purple, tshirt yellow
8016, beard tan, bucket hat green, tshirt metal
8017, hearts, sushi, tshirt yellow
8018, happy, mohawk purple, pirate black
8019, happy, piercings, tanktop sailor red
8020, beard pirate, visor green, shirt yellow
8021, unamused, crown black, viking brown
8022, mummy, bucket hat white, gown black
8023, ninja red, sushi, robe blue
8024, ditto, headband blue, tshirt green
8025, derp, beret red, tshirt green
8026, rich, visor purple, toga
8027, angry scar, cowboy black, pirate black
8028, angry scar, mohawk red, sweater green chain
8029, rich, beret red, work blue
8030, stunned, flower red, gown purple
8031, beard tan, deepsea bronze, labcoat
8032, sunglasses squad, knight blue, ninja blue
8033, unamused, flower blue, tshirt white
8034, face face, costume gorilla, costume gorilla
8035, ninja red, mohawk green, tanktop pink
8036, pixel, headband blue, tshirt yellow
8037, hearts, bucket hat tan, hoodie black
8038, uwu, sunhat white, astro black
8039, face face, headband blue, baseball red
8040, happy cute, astro, ninja red
8041, happy, admiral, ninja blue
8042, sunglasses blue, apple, labcoat
8043, stunned, candle, overalls red
8044, angry, cupcake, baseball blue
8045, ditto, headband red, buttondown green
8046, uwu, mohawk purple, buttondown tan
8047, hearts, costume frog, tshirt red
8048, angry, hat white, buttondown green
8049, happy cute, hat visor yellow, bandana red
8050, stunned, visor green, tanktop sailor blue
8051, rich, cowboy brown, shirt white
8052, happy, wreath, hoodie purple
8053, stunned, beret pink, robe blue
8054, unamused, helm army, toga
8055, sunglasses heart, prince, tanktop sailor blue
8056, mummy, antlers, winter red
8057, ditto, knight blue, tshirt green
8058, uwu, antlers, robe blue
8059, unamused, flower pink, labcoat
8060, angry scar, admiral pink, epaulette white
8061, zombie, astro fishbowl, mononoke
8062, ninja blue, horns, baseball red
8063, rich, bucket hat tan, labcoat
8064, wink, mohawk red, bandana red
8065, three eyes, ninja black, ninja red
8066, unamused, afro black, tanktop sailor blue
8067, grin, ninja red, overalls flannel
8068, sunglasses blue, mohawk purple, gown purple
8069, happy, bucket hat green, sweater orange
8070, angry, astro, tanktop white
8071, glasses, beret green, robe blue
8072, beard pirate, visor green, robe white
8073, glasses, flower pink, hoodie purple
8074, ninja red, beanie black, epaulette white
8075, sunglasses squad, knight blue, tanktop sailor red
8076, happy cute, afro black, winter blue
8077, sunglasses pixel, mullet brown, cowboy black
8078, ditto, goggles seaweed, sweater black
8079, beard pirate, beret green, buttondown black flannel
8080, beard pirate, helm army, buttondown red flannel
8081, sunglasses cowboy, beret black, viking brown
8082, angry, cowboy brown, tshirt blue
8083, ninja blue, ninja red, cowboy black
8084, sunglasses cool, ninja blue, labcoat
8085, sunglasses squad, candle, baseball red
8086, grin, bucket hat tan, buttondown red flannel
8087, sunglasses cool, pirate red, shirt white
8088, ninja red, hat skull, chain
8089, glasses funny, sunhat tan, tshirt red
8090, beard brown, bucket hat green, knight
8091, sunglasses cool, halo, overalls pink
8092, tvface xp, tvhead grey, overalls red
8093, rich, beret black, sweater pink
8094, hearts, ninja red, astro orange
8095, unamused, ninja black, gown white
8096, sunglasses cool, hat black, tshirt blue
8097, hearts, hat white, buttondown green
8098, beard pirate, apple, tanktop pink
8099, mononoke, hat visor yellow, buttondown black flannel
8100, hearts, pirate red, tanktop sailor black
8101, dizzy, flower red, costume hotdog
8102, ditto, beret green, hoodie purple
8103, ninja black, beanie orange, nurse
8104, angry cute, goggles seaweed, monk
8105, angry scar, wreath, shirt white
8106, beard pirate, hat visor yellow, sweater orange
8107, glasses funny, antlers, gown purple
