id, face, hat, clothes
0, angry cute, helm army, sweater orange
1, glossy, wreath, robe blue
2, ditto, deepsea bronze, sweater green chain
3, happy, apple, tshirt pink
4, pixel, piercings, buttondown black flannel
5, dizzy, apple, bandana red
6, ninja black, visor purple, tshirt metal
7, grin, beanie orange, tanktop tattoo
8, mononoke, beanie black, astro black
9, glasses, beret red, tanktop orange
10, zombie, beret red, ninja black
11, glasses, afro brown, combat green
12, sunglasses yellow, afro rainbow unicorn, costume frog
13, glasses funny, pirate red, deepsea bronze
14, rich, beanie orange, tanktop white
15, unamused, beret red, costume hotdog
16, ninja black, ninja blue, toga
17, angry scar, arrowhead, overalls red
18, beard pirate, beanie red, tshirt metal
19, ninja black, piercings, winter blue
20, derp, sunhat black, tshirt blue
21, beard pirate, bucket hat tan, work red
22, beard pirate, antlers, buttondown tan
23, hearts, tvhead grey, tshirt yellow
24, ninja red, headband red, tanktop sailor blue
25, smirk, candle, overalls blue
26, sunglasses squad, cupcake, tshirt green
27, ditto, cowboy black, knight black
28, sunglasses blue, bucket hat white, tshirt white
29, mononoke, ninja blue, hoodie purple
30, grin, arrowhead, tshirt blue
31, glasses funny, cowboy brown, work red
32, dizzy, beret green, chain
33, angry, headband blue, labcoat
34, ninja black, bucket hat blue, gown black
35, angry, sunhat tan, buttondown black flannel
36, stunned, beanie black, hoodie black
37, tired, ninja red, hoodie black
38, dizzy, piercings, costume gorilla
39, angry scar, headband red, robe red
40, ninja blue, cowboy brown, tshirt green
41, beard pirate, cowboy black, cowboy brown
42, ditto, wreath, buttondown blue flannel
43, angry scar, beanie blue, hoodie black
44, derp, mohawk green, tanktop sailor black
45, pixel, mohawk purple, bandana purple
46, double face, antlers, shirt yellow
47, uwu, headband red, tanktop white
48, owo, hat black, buttondown blue flannel
49, sunglasses cool, piercings, buttondown blue flannel
50, unamused, flower red, tanktop white
51, sunglasses pixel, ninja black, wetsuit
52, ninja blue, halo, hoodie purple
53, ninja red, hat white, winter red
54, owo, flower red, baseball red
55, rich, candle, bandana green
56, ninja black, beret green, robe red
57, zombie, costume frog, robe white
58, angry cute, helm army, robe blue
59, mononoke, hat white, buttondown green
60, sunglasses yellow, hat white, tshirt red
61, stunned, beret green, bandana purple
62, grin, unicorn horn, work blue
63, mononoke, hat white, buttondown blue flannel
64, beard brown, astro cheeks, winter blue
65, beard pirate, arrowhead, hoodie purple
66, owo, bucket hat tan, shirt bowtie
67, tired, flower blue, sweater orange
68, happy, beanie orange, tshirt blue
69, sunglasses blue, cowboy black, gown purple
70, sunglasses squad, beret red, shirt white
71, happy cute, sunhat tan, winter blue
72, rich, helm army, tshirt blue
73, stunned, beanie orange, sweater orange
74, ditto, flower red, hoodie purple
75, beard pirate, admiral, sweater black
76, double face, top hat, overalls pink
77, owo, afro brown, gown black
78, happy cute, bucket hat green, cowboy brown
79, sunglasses squad, mullet blonde, ninja red
80, smirk, arrowhead, tshirt red
81, glasses, bow, costume dragon
82, zombie, beret green, buttondown green
83, derp, helm biker, tanktop sailor black
84, grin, helm biker, deepsea bronze
85, ditto, deepsea bronze, tshirt metal
86, smirk, crown gold, nurse
87, dizzy, candle, shirt yellow
88, hearts, candle, tshirt yellow
89, happy cute, flower red, tshirt yellow
90, ninja black, arrowhead, overalls flannel
91, three eyes, hat skull, overalls blue
92, angry cute, tvhead grey, robe red
93, rich, candle, tanktop sailor red
94, rich, beret pink, overalls blue
95, sunglasses blue, beret red, tanktop pink
96, ninja black, helm bronze, nurse
97, beard brown, pirate black, robe blue
98, sunglasses squad, headband blue, tanktop pink
99, wink, bucket hat green, robe red
100, beard tan, admiral, ninja black
101, three eyes, goggles seaweed, punk
102, angry, bucket hat white, tshirt white
103, dizzy, headband red, tshirt pink
104, ninja blue, dutch, viking navy
105, derp, arrowhead, tanktop orange
106, happy cute, pirate black, buttondown tan
107, tired, ninja black, buttondown black flannel
108, sunglasses yellow, beanie orange, ninja black
109, smirk, arrowhead, buttondown black flannel
110, zombie, helm bronze, costume frog
111, glasses funny, helm army, buttondown blue flannel
112, mummy, beanie red, baseball blue
113, smirk, pirate red, costume hotdog
114, angry, bucket hat tan, work red
115, smirk, headband blue, sweater orange
116, zombie, wreath, tshirt pink
117, face face, helm army, ninja blue
118, mummy, mohawk purple, buttondown green
119, sunglasses blue, hat visor blue, knight leather
120, smirk, hat visor yellow, overalls blue
121, owo, flower blue, buttondown green
122, grin, top hat, tshirt metal
123, tired, goggles seaweed, wetsuit
