id, face, hat, clothes
6000, mummy, cowboy brown, bandana red
6001, double face, hat visor yellow, chain
6002, sunglasses squad, nurse, pirate red
6003, tvface bobross, tvhead purple, tanktop sailor red
6004, uwu, piercings, robe white
6005, ninja blue, crown gold, tanktop sailor black
6006, grin, bow, overalls red
6007, ninja black, beret red, bandana green
6008, glossy, bucket hat white, monk
6009, stunned, beret red, tanktop pink
6010, happy cute, headband blue, buttondown tan
6011, smirk, ninja blue, buttondown tan
6012, beard pirate, headband red, sweater pink
6013, shocked, hat visor yellow, robe blue
6014, three eyes, pirate red, robe white
6015, stunned, top hat, punk
6016, beard tan, afro brown, shirt white
6017, owo, mohawk red, tshirt green
6018, tired, helm army, tanktop orange
6019, derp, beanie orange, sweater orange
6020, stunned, wreath, knight
6021, ninja red, flower pink, winter blue
6022, unamused, ninja blue, sweater pink
6023, glasses, beret pink, bandana green
6024, sunglasses blue, tvhead grey, work blue
6025, mummy, astro, overalls blue
6026, sunglasses yellow, mohawk red, buttondown green
6027, three eyes, beret pink, overalls yellow
6028, beard brown, candle, shirt white
6029, zombie, flower red, astro
6030, sunglasses cowboy, beret pink, hoodie black
6031, wink, pirate black, buttondown black flannel
6032, sunglasses cowboy, mullet blonde, robe blue
6033, glossy, piercings, buttondown green
6034, grin, beret green, costume dragon
6035, beard brown, astro, epaulette red
6036, zombie, arrowhead, ninja red
6037, beard pirate, visor purple, costume dragon
6038, angry scar, headband red, chain
6039, grin, tvhead purple, deepsea bronze
6040, ninja blue, sushi, shirt white
6041, sunglasses cool, bow, cowboy brown
6042, beard tan, hat visor blue, tanktop sailor black
6043, sunglasses blue, headband blue, buttondown black flannel
6044, happy cute, admiral pink, bandana green
6045, sunglasses squad, afro brown, tanktop pink
6046, sunglasses blue, mullet brown, overalls pink
6047, pixel, visor green, overalls red
6048, sunglasses yellow, beanie red, sweater pink
6049, glasses funny, mohawk green, hoodie purple
6050, angry scar, pirate black, pirate black
6051, glasses funny, beanie red, epaulette black
6052, wink, visor purple, pirate red
6053, sunglasses cowboy, headband blue, shirt bowtie
6054, ninja black, hat visor yellow, tanktop white
6055, face face, headband red, overalls blue
6056, dizzy, afro rainbow unicorn, buttondown green
6057, sunglasses yellow, afro brown, work red
6058, ninja black, admiral, overalls yellow
6059, face face, beanie orange, knight black
6060, angry cute, headband blue, overalls blue
6061, hearts, mohawk red, winter red
6062, derp, beanie red, pirate red
6063, dizzy, hat white, costume frog
6064, sunglasses squad, beanie orange, sweater pink
6065, mummy, dutch, shirt yellow
6066, angry scar, nurse, knight leather
6067, wink, antlers, buttondown black flannel
6068, sunglasses squad, mohawk red, tanktop sailor blue
6069, ninja black, ninja black, sweater orange
6070, ninja black, antlers, shirt yellow
6071, dizzy, pirate black, wetsuit
6072, rich, flower blue, viking brown
6073, sunglasses squad, headband blue, overalls blue
6074, double face, ninja red, tanktop white
6075, sunglasses squad, beret green, sweater orange
6076, ninja black, flower blue, buttondown tan
6077, sunglasses pixel, knight blue, viking navy
6078, pixel, mohawk green, sweater green chain
6079, mummy, bucket hat tan, winter blue
6080, three eyes, ninja red, robe white
6081, glossy, mohawk purple, shirt yellow
6082, sunglasses pixel, horns, tshirt red
6083, three eyes, astro, viking brown
6084, owo, hat white, tanktop white
6085, stunned, helm bronze, chain
6086, wink, knight blue, robe red
6087, derp, ninja black, lederhosen
6088, ninja blue, flower red, tshirt yellow
6089, face face, helm silver, overalls yellow
6090, sunglasses pixel, helm silver, hoodie black
6091, shocked, bucket hat tan, overalls blue
6092, ninja red, flower pink, buttondown green
6093, glasses, crown fire, lederhosen
6094, sunglasses squad, headband blue, robe red
6095, ditto, halo, nurse
6096, sunglasses pixel, dutch, deepsea orange
6097, grin, cowboy brown, overalls blue
6098, beard brown, headband blue, buttondown blue flannel
6099, derp, unicorn horn, buttondown black flannel
6100, glasses, cupcake, tanktop tattoo
6101, beard pirate, horns, work blue
6102, happy cute, halo fire, sweater green chain
6103, glossy, hat visor yellow, bandana purple
6104, zombie, hat black, hoodie purple
6105, beard pirate, flower red, overalls blue
6106, uwu, costume frog, monk
6107, wink, prince, shirt yellow
6108, angry, helm silver, astro
6109, happy, crown black, cowboy brown
6110, stunned, beanie black, robe blue
6111, happy cute, tvhead grey, knight
6112, rich, beanie red, overalls blue
6113, three eyes, bucket hat tan, buttondown green
6114, double face, visor green, astro
6115, beard brown, halo, buttondown blue flannel
6116, unamused, sunhat tan, astro black
6117, angry scar, apple, tanktop pink
6118, angry scar, bucket hat tan, ninja blue
6119, ninja black, knight black, costume hotdog
6120, unamused, arrowhead, tshirt yellow
6121, happy cute, hat skull, tanktop pink
6122, mummy, crown gold, overalls yellow
