id, face, hat, clothes
3000, glossy, mohawk red, buttondown black flannel
3001, uwu, flower blue, knight leather
3002, dizzy, mohawk green, hoodie black
3003, beard brown, visor green, shirt white
3004, sunglasses cowboy, cowboy black, ninja blue
3005, glossy, sunhat white, tshirt blue
3006, ninja blue, pirate red, baseball red
3007, smirk, piercings, hoodie black
3008, stunned, hat black, hoodie purple
3009, glasses, beret pink, overalls flannel
3010, derp, candle, viking brown
3011, glasses funny, beret pink, ninja red
3012, angry cute, nurse, buttondown blue flannel
3013, beard brown, beanie blue, buttondown black flannel
3014, mononoke, knight blue, hoodie black
3015, pixel, headband red, punk
3016, tired, horns, epaulette red
3017, tvface 404, tvhead white, punk
3018, ditto, hat white, robe blue
3019, face face, deepsea orange, tshirt green
3020, happy, flower red, robe red
3021, angry cute, beanie red, deepsea bronze
3022, ninja black, bucket hat tan, tanktop white
3023, ninja red, pirate red, costume frog
3024, grin, mohawk green, tshirt pink
3025, sunglasses yellow, beanie red, tshirt pink
3026, beard brown, bow, work blue
3027, ninja black, knight blue, knight leather
3028, sunglasses blue, pirate red, overalls blue
3029, ditto, bucket hat blue, baseball blue
3030, smirk, antlers, viking navy
3031, face face, knight blue, tanktop orange
3032, mononoke, ninja blue, punk
3033, sunglasses cowboy, headband blue, bandana purple
3034, sunglasses yellow, bow, robe blue
3035, angry cute, sunhat black, work red
3036, ninja red, hat white, sweater black
3037, stunned, cupcake, baseball red
3038, beard brown, hat skull, mononoke
3039, grin, cowboy brown, knight
3040, sunglasses pixel, beret green, overalls blue
3041, double face, beanie blue, ninja red
3042, stunned, hat white, ninja red
3043, mononoke, unicorn horn, knight
3044, pixel, crown gold, tshirt yellow
3045, sunglasses blue, mohawk green, tanktop sailor red
3046, owo, goggles seaweed, buttondown green
3047, angry, hat visor yellow, tshirt metal
3048, double face, ninja black, buttondown blue flannel
3049, angry, helm army, bandana green
3050, sunglasses cool, bow, shirt white
3051, dizzy, bucket hat tan, bandana red
3052, happy, sunhat white, tshirt blue
3053, rich, bucket hat white, knight
3054, happy, beret red, combat green
3055, three eyes, beret pink, tshirt yellow
3056, beard tan, bucket hat white, work blue
3057, face face, deepsea bronze, robe king
3058, owo, flower red, chain
3059, sunglasses cool, afro rainbow unicorn, monk
3060, mummy, visor green, tanktop sailor black
3061, shocked, pirate red, winter blue
3062, rich, knight blue, knight leather
3063, rich, apple, tshirt green
3064, uwu, headband blue, tshirt green
3065, ditto, flower red, sweater black
3066, glossy, beret green, robe blue
3067, sunglasses pixel, cowboy black, nurse
3068, angry scar, sunhat white, bandana green
3069, grin, flower pink, work blue
3070, pixel, sushi, tanktop pink
3071, ninja black, beret black, shirt white
3072, happy, hat black, hoodie purple
3073, ninja blue, beret red, shirt bowtie
3074, owo, candle, tshirt white
3075, shocked, hat skull, tshirt yellow
3076, sunglasses cowboy, flower pink, bandana red
3077, unamused, bucket hat tan, work blue
3078, double face, beret black, robe king
3079, wink, wreath flowers, baseball blue
3080, angry cute, bucket hat tan, tanktop orange
3081, angry scar, beret green, robe red
3082, beard tan, beret red, tshirt red
