id, body, eyes, mouth, hat, clothes, earring
9000, Gotsun, Bed, Buck Teeth, Whereiswhale, Iced Tee, Ear Cuff
9001, Checkered, Love, Whatever, Winter Hat, Preshistoric, 
9002, Light Brown, Pressure, Higschool, Whalehunter 1, Multicolor, Silver 2
9003, Grey, Notfunny, Meh Higschool, Trick Hat, Robinson, 
9004, Easter Egg, Undead, Moo, Prison, Bringcash, 
9005, Black, Notfunny, Whatever, , Multicolor, Silver 1
9006, Brown, Love, Dangerous Smoke 2, Service, Ay Sailor, 
9007, Bad Machine, Notfunny, Whatever, Trick Hat, Hipsterneck, 
9008, Light Brown, Undead, Say Aah, Whalehunter 1, Hirewomen, Gold 2
9009, Beige, Bed, Meh, , Not A Suit, 
9010, Brown, Love, Dangerous Smoke 1, Whalehunter 1, Praetexta, 
9011, Gotsun, Dontsee, Meh, , , Gold 1
9012, Beige, Pirate, Yesplease, Hiiya, Bang Bang, Ear Cuff
9013, Checkered, Pressure, Meh Dangerous Smoke 1, , Ok, 
9014, Grey, Nothappy Longer, Moo, Cook, Hipsterneck, 
9015, No Signal, Round Glasses, Whatever, Prison, , 
9016, Neon Glow, Pirate, Argh, , Chemist, 
9017, Lady, See Stuff, Now, Whalehunter 1, Sweet Jacket, Silver 1
9018, Beige, Love, Dangerous Smoke 2, War Helmet, Rock, 
9019, Woke From Dead, Pressure, What, Good Idea, Nowar, Silver 1
9020, Machine, Dontlook, Meh Dangerous Smoke 3, , Fishnet Top, Ear Cuff
9021, Grey, Puppy Dog, Dangerous Smoke 1, , Bringcash, Jesus
9022, Light Brown, Blocksun, Meh, Cook, , 
9023, Nature, Not Nice, Bling, Manbun, Multicolor, 
9024, Dark Brown, Dontlook, Scowl, Whereisgiraffe, Trench, 
9025, Brown, Notfunny, Meh, Devil, Hipsterneck, 
9026, Black, Bed, Dangerous Smoke 3, , Fashion Accesory, 
9027, Dark Brown, Money, Say Aah, Whalehunter 2, Sweet Jacket, 
9028, Void, Dontsee, Whatever, Trendy 1, , Gold 1
9029, Bad Machine, Snake, Moo, , Praetexta, Silver 1
9030, Light Brown, Pressure, Whatever, Trendy W 2, Wifeshirt 1, 
9031, Holo Rainbow, Round Glasses, Moo, Cook, Onthesea, Silver 1
9032, Light Brown, Nothappy Longer, Dangerous Smoke 2, Prison, Fashion Accesory, 
9033, Brown, Notfunny, Meh Dangerous Smoke 1, , Trash, 
9034, Dark Brown, Nothappy Longer, Scowl, Comrade, Ay Sailor, 
9035, Africa Animal, Notfunny, Moo, , Nowar, 
9036, Candy Cane, Devourer, Argh, Hat 1, Hirewomen, 
9037, Brown, Notfunny, Meh Blow Bubble, , Ymca, Stretched
9038, Candy Cane, Round Glasses, Say Aah, Trendy 1, Sweet Jacket, 
9039, Beige, See Stuff, Meh, Fetish, , 
9040, Black, Bed, Scowl, , Cuba, Gold 1
9041, Beige, Notfunny, Blow Bubble, Whalehunter 1, Honololu, 
9042, Light Brown, Money, Whatever, Hat 3, Weapon Belt, 
9043, Africa Animal, Love, Meh, Hat 2, Nofire, 
9044, Albino, Pirate, Whatever, Visor Hat, Cycle, 
9045, Woke From Dead, Money, What, Hippy Hat, Ay Sailor, 
9046, Light Brown, Notfunny, Meh, Jesus Alive, Cuba, Gold 2
