id, body, eyes, mouth, hat, clothes, earring
3000, Easter Egg, Love, Nofeelingwell, , Knight Armor, 
3001, Dark Brown, Machine, Now, Small Child, Cycle, 
3002, Brown, See Stuff, Yesplease, , , Silver 2
3003, Light Brown, Nothappy, Meh Dangerous Smoke 2, Hiiya, Preshistoric, 
3004, Gotsun, Pressure, Moo, Whalehunter 1, Cuba, 
3005, Bad Machine, Notfunny, Funny, Service, Sweet Jacket, Gold 2
3006, Blue, See Stuff, Dangerous Smoke 2, Whalehunter 1, Hipsterneck, 
3007, Void, Undead, Meh Dangerous Smoke 2, Hat 2, Wifeshirt 1, Gold 1
3008, Red, Bed, Meh Sounds, Whereiswhale, Cuba, 
3009, Lady, Love, Funny, Trick Hat, Bang Bang, 
3010, Dark Brown, Multilevel, Meh, Manbun, Cycle, 
3011, Beige, Notfunny, Meh Dangerous Smoke 2, , Multicolor, 
3012, Albino, Money, Moo, Whalehunter 2, , 
3013, Blue, Dontsee, Meh, , , Stretched
3014, Grey, Pirate, Yesplease, Hat 3, , 
3015, Easter Egg, Multilevel, Whatever, Small Child, Nowar, 
3016, Stars And Stripes, Dontsee, Gold Bling, , , 
3017, Brown, Nothappy Longer, Nofeelingwell, Prison, , Silver 2
3018, Dark Brown, Bed, Meh, , Trash, 
3019, Brown, Dead, Dangerous Smoke 1, , Ay Sailor, Multiple
3020, Albino, Pressure, Scowl, Whalehunter 1, Praetexta, 
3021, Black, Dontsee, Meh Dangerous Smoke 2, , , 
3022, Easter Egg, Bed, Argh, Hiiya, Costume Old, 
3023, Gotsun, Machine, Gold Bling, Fetish, , Silver 2
3024, Beige, Notfunny, Whatever, Notsmart, , 
3025, Gotsun, Undead, Meh Dangerous Smoke 2, , Hirewomen, 
3026, No Signal, Notfunny, Meh, , Cycle, 
3027, Africa Animal, Nothappy Longer, Knife, Jesus Alive, Preshistoric, 
3028, Beige, Notfunny, Whatever, Service, Hipsterneck, Silver 1
3029, Light Brown, Bed, Meh Higschool, Hat 2, Cycle, Silver 2
3030, Beige, Multilevel, Scowl, Whereiswhale, Robinson, 
3031, Dark Brown, Notfunny, Meh Dangerous Smoke 2, Devil, Gentleman, 
3032, Holo Rainbow, Nothappy, Dangerous Smoke 2, , , 
3033, Blue, Nothappy Longer, Meh, Side Shave, Vest, 
3034, Neon Glow, Bed, Moo, , Broken, 
3035, Africa Animal, Money, Dangerous Smoke 2, , Blazer Black, 
3036, Blue, Notfunny, Say Aah, Trendy W 2, Trench, 
3037, Gotsun, Round Glasses, What, Prison, Sweet Jacket, 
3038, Candy Cane, Devourer, Now, , , Ear Cuff
3039, Grey, Puppy Dog, Whatever, , Honololu, 
3040, Black, Machine, Moo, Trendy 1, Bringcash, 
3041, Dark Brown, Blocksun, What, Leprechaun, , Silver 2
3042, Beige, Monocle, Moo, Hat 3, Cool T-Shirt, 
3043, Brown, Pirate, Scowl, , Fishnet Top, 
3044, Black, Nothappy, Funny, Whalehunter 2, Cycle, 
3045, Candy Cane, Machine, Argh, , , Silver 1
3046, Brown, Money, Now, Hat 3, Overalls, Silver 2
3047, Beige, Pirate, Dangerous Smoke 2, Trendy 1, , 
3048, Candy Cane, Snake, Meh, Whalehunter 2, , 
3049, Gotsun, Bed, What, Leprechaun, Blank, 
3050, Grey, Not Nice, Meh, Whereiswhale, Multicolor, Gold 1
3051, Red, Notfunny, Argh, , , Ear Cuff
3052, Gotsun, Pressure, Whatever, , Rappers, 
3053, Dark Brown, Dontsee, Meh Dangerous Smoke 2, Prison, Cuba, Silver 2
3054, Light Brown, Multilevel, Meh, , , 
3055, Vector, Notfunny, Whatever, Service, Bang Bang, 
3056, Light Brown, Pressure, Meh, Small Child, Vegas Dancer, 
3057, Color Dots, See Stuff, Argh, Hiiya, Hippy, 
3058, Dark Brown, Nothappy, Dangerous Smoke 2, Whalehunter 2, Nofire, 
3059, Brown, Devourer, Whatever, Whereiswhale, Hoodie Black, 
3060, Candy Cane, Notfunny, Knife, Leprechaun, Poncho, 
3061, Gotsun, Dontsee, Whatever, , Great T-Shirt, Multiple
3062, Easter Egg, Notfunny, Dangerous Smoke 2, , Wifeshirt 1, Gold 2
3063, Neon Glow, Money, Argh, Leprechaun, Nofire, 
3064, Africa Animal, Round Glasses, Scowl, Service, Bang Bang, 
3065, Black, Machine, No Teeth, Whereiswhale, , 
3066, Dark Brown, Nothappy, Scowl, , Multicolor, Gold 2
3067, Grey, Future, Meh, Devil, Not A Suit, 
3068, Beige, See Stuff, Meh Dangerous Smoke 2, Prison, Alcatraz, Silver 1
3069, Grey, Bed, Moo, Trendy 1, Gentleman, 
3070, Light Brown, Pirate, Whatever, Prison, Hoodie Red, 
3071, Bloodbath, Future, Moo, Hippy Hat, , 
3072, Dark Brown, Round Glasses, Buck Teeth, Trendy 1, Preshistoric, 
3073, Black, Undead, Whatever, Prison, Praetexta, 
3074, Blue, Nothappy, Meh, Have Fun 2, Overalls, 
3075, Red, Dontsee, What, Side Shave, Moon, 
3076, Bad Machine, Love, Whatever, , Alcatraz, 
3077, Beige, Notfunny, Argh, Hiiya, Hoodie Red, 
3078, Machine, Multilevel, Whatever, Service, Blank, 
3079, Beige, Notfunny, Meh, , Poncho, Gold 1
3080, Light Brown, Money, Moo, Warhat 2, , 
3081, Dark Brown, Multilevel, Whatever, , Vest, Silver 2
3082, Black, Nothappy Longer, Meh, , Cool T-Shirt, Silver 1
3083, Machine, Love, Argh, Notsmart, , 
3084, Black, Pirate, Whatever, Hiiya, Praetexta, 
3085, Red, Multilevel, Meh Dangerous Smoke 2, Comrade, Cycle, 
3086, Woke From Dead, Nothappy, What, Whalehunter 1, Overalls, Silver 2
3087, Dark Brown, Money, Moo, , Hoodie Black, 
