id, body, eyes, mouth, hat, clothes, earring
1000, Dark Brown, Pressure, Meh, Hiiya, Hirewomen, Silver 2
1001, Red, Monocle, Dangerous Smoke 2, Hidehairs, Wifeshirt 2, 
1002, Grey, Undead, Meh, Trendy 1, Honololu, Gold 1
1003, Brown, Bed, Nofeelingwell, Trick Hat, , 
1004, Blue, Machine, Moo, Trendy 2, Bringcash, 
1005, Grey, Puppy Dog, Whatever, Winter Hat, Ay Sailor, 
1006, Lady, Dontsee, Meh, Cat Ears, , 
1007, Brown, Money, Whatever, Jesus Alive, Overalls, 
1008, Light Brown, Pressure, Meh, Whereisgiraffe, Ymca, 
1009, Black, Nothappy, Whatever, Have Fun 2, Sweet Jacket, 
1010, Dark Brown, Notfunny, Meh, Winter Hat, Preshistoric, 
1011, Grey, Dead, Say Aah, Hiiya, Poncho, Silver 1
1012, Brown, Multilevel, Dangerous Smoke 3, Whereiswhale, Trash, 
1013, Dark Brown, Puppy Dog, Sounds, Trendy W 2, Hipsterneck, Gold 1
1014, Blue, See Stuff, Now, , Onthesea, 
1015, Africa Animal, Dontsee, Scowl, Hat 3, Hirewomen, 
1016, Brown, Notfunny, Buck Teeth, Whereisgiraffe, Not A Suit, Gold 1
1017, Red, Nothappy, Funny, , Ymca, 
1018, Grey, Monocle, Meh, , Cycle, 
1019, Candy Cane, Pirate, Whatever, Warhat 2, Vest, 
1020, Albino, Notfunny, Meh, Hat 2, , 
1021, Brown, Pressure, Whatever, Whereiswhale, Cuba, 
1022, Lady, Reality, What, Punk Short, , 
1023, Brown, Pressure, Meh Sounds, Hiiya, Trash, 
1024, Light Brown, Bed, Whatever, Fetish, Great T-Shirt, 
1025, Black, Notfunny, Meh Dangerous Smoke 2, Hat 1, Gentleman, 
1026, No Signal, Devourer, Rainbow, Hat 3, , 
1027, Grey, Dontsee, Moo, Manbun, Honololu, 
1028, Dark Brown, Dead, Whatever, , Ay Sailor, 
1029, Light Brown, Monocle, Meh, Winter Hat, Piercings, 
1030, Dark Brown, Bed, Whatever, , Moon, 
1031, Beige, Round Glasses, Argh, , Praetexta, 
1032, Red, Pressure, Whatever, , Overalls, Jesus
1033, Brown, Notfunny, Dangerous Smoke 2, Whereiswhale, Cool T-Shirt, 
1034, Gotsun, Love, Rainbow, Small Child, Hipster Shirt, 
1035, Light Brown, Dontsee, What, Trendy W 1, Sweet Jacket, 
1036, Gotsun, Machine, Meh, Punk Short, Hirewomen, Silver 2
