id, body, eyes, mouth, hat, clothes, earring
2000, Gotsun, Dead, Scowl, Leprechaun, Weapon Belt, 
2001, Black, Pressure, Yesplease, Jesus Alive, Hipster Shirt, Gold 2
2002, Gotsun, Nothappy, Whatever, Fetish, Moon, 
2003, Dark Brown, Love, Meh, Antique, Multicolor, 
2004, Bloodbath, Puppy Dog, Say Aah, Cat Ears, , 
2005, Brown, Nothappy Longer, Dangerous Smoke 2, Whalehunter 1, Sweet Jacket, 
2006, Red, Notfunny, Say Aah, , Poncho, 
2007, Light Brown, Round Glasses, Meh, , Rock, 
2008, Neon Glow, Notfunny, Dangerous Smoke 3, Punk Short, Broken, 
2009, Au, See Stuff, Meh, Comrade, , 
2010, Gotsun, Nothappy Longer, Argh, , , 
2011, Brown, Notfunny, Meh, Comrade, , 
2012, Machine, Bed, Knife, , Vest, 
2013, Blue, Notfunny, Meh, Hiiya, Bringcash, 
2014, Checkered, Pressure, Now, , Vest, 
2015, Grey, Puppy Dog, Gold Bling, Warhat 1, Ay Sailor, Gold 2
2016, Neon Glow, Undead, Dangerous Smoke 2, Punk Short, , 
2017, Brown, Notfunny, Whatever, Warhat 1, Honololu, 
2018, Neon Glow, Snake, Meh, Hiiya, Sweet Jacket, 
2019, Easter Egg, Round Glasses, Sounds, Winter Hat, Cuba, 
2020, Dark Brown, Dontsee, Whatever, , Hipsterneck, 
2021, Acid, Round Glasses, Yesplease, , , Stretched
2022, Blue, Not Nice, Dangerous Smoke 2, Comrade, Sweet Jacket, Silver 2
2023, Black, See Stuff, Meh Dangerous Smoke 2, Jesus Alive, Ay Sailor, 
2024, Red, Bed, Meh, Mafia, Cool T-Shirt, 
2025, Machine, Dontsee, Whatever, Headset, Poncho, 
2026, Beige, Notfunny, Dangerous Smoke 2, Fetish, Broken, 
2027, No Signal, Money, Funny, Mafia, , 
2028, Lady, Multilevel, Whatever, , Onthesea, Gold 2
2029, Brown, Bed, Funny, , Nowar, 
2030, Black, Pressure, No Teeth, , Cuba, Stretched
2031, Color Dots, Multilevel, Meh, , Rappers, 
2032, Blue, Notfunny, What, Jesus Alive, , 
2033, Grey, Bed, Dangerous Smoke 2, Hat 3, Hippy, 
2034, Africa Animal, Multilevel, Dangerous Smoke 3, Comrade, Not A Suit, 
2035, Black, Machine, Meh, Trendy W 2, , 
2036, Nature, Multilevel, Dangerous Smoke 2, Small Child, Weapon Belt, Multiple
2037, Brown, Nothappy Longer, Whatever, Leprechaun, Piercings, 
2038, Gotsun, Multilevel, Rainbow, , Honololu, 
2039, Brown, Dontlook, Say Aah, , Poncho, 
2040, Dark Brown, Notfunny, Moo, Visor Hat, , Multiple
2041, No Signal, Bed, Blow Bubble, Trendy 2, , 
2042, Africa Animal, Notfunny, Argh, Trendy W 1, Bringcash, 
2043, Light Brown, Love, Now, Whalehunter 1, Overalls, 
2044, Dark Brown, Dead, Yesplease, Warhat 1, Hipsterneck, Gold 1
2045, Black, Dontsee, Say Aah, Fetish, Vest, 
2046, Beige, Multilevel, Meh Sounds, Hat 3, , 
2047, Grey, Reality, Yesplease, Trendy 1, Ay Sailor, 
2048, Black, Multilevel, Whatever, Punk Short, Cuba, Silver 1
2049, Neon Glow, Notfunny, Meh, Trendy W 1, Ay Sailor, 
2050, Black, Blocksun, Moo, Whalehunter 1, Trash, 
2051, Dark Brown, Bed, Dangerous Smoke 2, Prison, Vegas Dancer, 
2052, Gotsun, See Stuff, What, Catch Robbers, Poncho, 
2053, Grey, Nothappy Longer, Higschool, Whalehunter 1, Great T-Shirt, 
2054, Checkered, Bed, Whatever, , Hipsterneck, Silver 1
2055, Color Dots, Blocksun, Moo, , Onthesea, 
2056, Grey, Nothappy Longer, Meh, Fetish, , 
2057, Holo Rainbow, Love, Argh, , , 
2058, Brown, See Stuff, Whatever, Service, Hippy, 
2059, Light Brown, Pressure, Meh, Winter Hat, Shirt Of Flames, 
2060, Easter Egg, Lazer, Argh, , Cycle, 
2061, Red, See Stuff, Yesplease, Service, Trench, Multiple
2062, Blue, Dontsee, Argh, Trendy W 2, Hoodie Red, Silver 2
2063, Nature, Notfunny, Yesplease, Warhat 2, Onthesea, 
2064, Checkered, Pressure, Meh, Whalehunter 1, Sweet Jacket, Ear Cuff
2065, Brown, Blocksun, Dangerous Smoke 2, Whalehunter 2, Multicolor, Silver 1
2066, Lady, Round Glasses, Argh, Service, Nofire, 
2067, Light Brown, Love, What, Prison, Preshistoric, 
2068, Blue, Puppy Dog, Nofeelingwell, Warhat 1, , 
2069, Albino, Dontsee, Meh, Trendy 1, Nowar, Silver 2
2070, Red, Notfunny, Meh Knife, , Nofire, Gold 1
2071, Nature, Pressure, Whatever, Hiiya, Hipsterneck, 
2072, Dark Brown, Love, Nofeelingwell, Trendy W 2, Broken, 
2073, Woke From Dead, Dontlook, Meh Dangerous Smoke 2, , , 
2074, Beige, See Stuff, Moo, Leprechaun, Honololu, Multiple
2075, Red, Nothappy, Meh Higschool, Hiiya, Nofire, Gold 1
2076, Grey, Dead, Whatever, Cook, Poncho, 
2077, Beige, Dontsee, Buck Teeth, , Onthesea, 
2078, Au, Notfunny, What, Warhat 1, , 
2079, Red, Money, No Teeth, Cat Ears, Alcatraz, 
2080, Gotsun, Notfunny, Meh, Devil, Blank, 
2081, Red, Love, Moo, Hat 2, , 
2082, Machine, Money, Whatever, Visor Hat, Onthesea, 
2083, Beige, Dontsee, Moo, , Nowar, Silver 2
2084, Brown, Notfunny, Whatever, Trendy 1, Cool T-Shirt, Ear Cuff
2085, Stars And Stripes, Undead, Say Aah, , , 
2086, Woke From Dead, Notfunny, Argh, Whalehunter 2, Praetexta, 
2087, Neon Glow, Blocksun, Meh, , , 
2088, Black, Reality, Whatever, Hat 2, Not A Suit, 
2089, Dark Brown, Bed, Blow Bubble, Winter Hat, Nofire, 
2090, Brown, Pressure, Meh, Rule All, , 
2091, Black, Nothappy Longer, Dangerous Smoke 1, Fetish, Rappers, 
2092, Checkered, Nothappy, Say Aah, Catch Robbers, Nofire, 
2093, Nature, Notfunny, Dangerous Smoke 2, Whalehunter 1, Hipsterneck, Silver 1
2094, Light Brown, Blocksun, Meh Higschool, , Robinson, 
2095, Candy Cane, Dontsee, Meh, Leprechaun, , Silver 2
2096, Black, Dead, What, Trendy 1, Robinson, 
2097, Gotsun, Pressure, Nofeelingwell, Headset, Sweet Jacket, 
2098, Blue, Money, Scowl, Trendy 1, , 
2099, Gotsun, Multilevel, Dangerous Smoke 2, Hiiya, Cool T-Shirt, Gold 1
2100, No Signal, Machine, Say Aah, , , 
2101, Candy Cane, Notfunny, Argh, Whalehunter 2, , Gold 1
2102, Blue, Multilevel, Meh Knife, Prison, Hipster Shirt, 
2103, Black, Money, Moo, , Nowar, 
2104, Beige, Love, Meh, Whereiswhale, Blank, Silver 2
2105, Brown, Machine, Argh, Whalehunter 1, Vegas Dancer, 
2106, Black, Notfunny, Moo, Leprechaun, Blank, 
2107, Brown, Multilevel, Say Aah, Jesus Alive, , 
2108, Dark Brown, Monocle, Now, Leprechaun, , 
2109, Grey, Puppy Dog, Whatever, , Hipster Shirt, 
2110, Void, Dontlook, Meh Dangerous Smoke 2, Hat 2, , Gold 1
