id, body, eyes, mouth, hat, clothes, earring
7000, Grey, Round Glasses, Meh Dangerous Smoke 2, Good Idea, Rappers, 
7001, Gotsun, Pirate, Buck Teeth, Leprechaun, Weapon Belt, 
7002, Light Brown, Notfunny, Whatever, Winter Hat, , Gold 2
7003, Brown, Nothappy Longer, Moo, Cook, Ay Sailor, 
7004, Dark Brown, Notfunny, Scowl, Manbun, Broken, 
7005, Blue, Nothappy, Moo, Trick Hat, Fashion Accesory, 
7006, Candy Cane, Pressure, Meh, Whereiswhale, , 
7007, Albino, Dontsee, Argh, Fetish, Wifeshirt 1, 
7008, Checkered, Blocksun, Sounds, Leprechaun, Sweet Jacket, Ear Cuff
7009, Black, Pressure, Say Aah, , Onthesea, Silver 2
7010, Checkered, Bed, Meh Sounds, , Cuba, 
7011, Light Brown, Dontsee, Whatever, Cook, Multicolor, 
7012, Beige, Blocksun, Dangerous Smoke 2, Whereisgiraffe, Cycle, 
7013, Grey, Dead, Argh, Punk Short, Vest, 
7014, Beige, Notfunny, Say Aah, Winter Hat, , 
7015, Dark Brown, Dontsee, Whatever, Punk Short, , Multiple
7016, Au, Nothappy, Yesplease, Devil, , 
7017, Brown, Dontsee, What, Notsmart, Ymca, Gold 1
7018, Holo Rainbow, Money, Whatever, , , 
7019, Africa Animal, Notfunny, Meh, Leprechaun, Gentleman, Gold 1
7020, Grey, See Stuff, Now, Trendy 2, Multicolor, Silver 1
7021, Blue, Money, Whatever, Jesus Alive, , 
7022, Red, Devourer, Yesplease, Trick Hat, Poncho, Gold 1
7023, Machine, See Stuff, Say Aah, Headset, Honololu, 
7024, Black, Devourer, Argh, Rabbit, Fashion Accesory, 
7025, Bad Machine, Money, Say Aah, Whalehunter 2, Weapon Belt, 
7026, Beige, See Stuff, Scowl, Comrade, , 
7027, Black, Notfunny, Meh, Leprechaun, Great T-Shirt, Silver 2
7028, Dark Brown, Pirate, Meh Dangerous Smoke 2, Prison, Honololu, 
7029, Light Brown, Notfunny, Rainbow, Headset, Preshistoric, 
7030, Black, Bed, Dangerous Smoke 2, Prison, Iced Tee, 
7031, Beige, Pressure, What, Hat 2, Trash, 
7032, Dark Brown, Bed, Now, , Multicolor, 
7033, Light Brown, Nothappy, Argh, Trendy 1, Fashion Accesory, 
7034, Holo Rainbow, Bed, What, , Honololu, Silver 1
7035, Beige, Round Glasses, Now, Comrade, Rock, Silver 2
7036, Checkered, Blocksun, Meh Blow Bubble, Punk Short, Lingerie, 
7037, Gotsun, Notfunny, Rainbow, , Sweet Jacket, Silver 1
