id, body, eyes, mouth, hat, clothes, earring
8000, Brown, Money, Meh Dangerous Smoke 2, , Piercings, Gold 1
8001, No Signal, Puppy Dog, Whatever, , , 
8002, Vector, Notfunny, Meh, , , 
8003, Dark Brown, Reality, Whatever, Hiiya, Cuba, Silver 2
8004, Grey, Nothappy, Blow Bubble, Warhat 1, Vegas Dancer, Multiple
8005, Brown, Not Nice, Meh Dangerous Smoke 2, Headset, Ay Sailor, 
8006, Grey, Notfunny, Rainbow, , Blank, 
8007, Machine, Pirate, Meh Dangerous Smoke 2, , Cuba, 
8008, Brown, Dontsee, No Teeth, , Overalls, 
8009, Lady, Nothappy Longer, Scowl, Cook, Not A Suit, Silver 2
8010, Dark Brown, Notfunny, Whatever, Leprechaun, Rappers, 
8011, Holo Rainbow, Pirate, Argh, Whereisgiraffe, Ymca, 
8012, Vector, Bed, Whatever, Catch Robbers, Ay Sailor, 
8013, Dark Brown, Dontsee, Meh, Hat 3, , 
8014, Woke From Dead, Multilevel, Moo, Trendy W 1, Iced Tee, 
8015, Checkered, Undead, Whatever, Visor Hat, Poncho, 
8016, Bad Machine, Notfunny, Meh Dangerous Smoke 3, Rabbit, Overalls, 
8017, Africa Animal, Dontsee, What, Trendy 2, Hipster Shirt, 
8018, Dark Brown, Future, Whatever, Devil, Wifeshirt 2, Silver 1
8019, Gotsun, Undead, Dangerous Smoke 3, , Not A Suit, 
8020, Blue, Multilevel, Meh, Cook, Chemist, 
8021, Lady, Dontsee, Whatever, Rabbit, Preshistoric, 
8022, Gotsun, Nothappy, Dangerous Smoke 3, Good Idea, Costume Old, 
8023, Brown, Notfunny, Argh, , Hipster Shirt, 
8024, Black, Pirate, Meh Higschool, Hiiya, Wifeshirt 2, 
8025, Neon Glow, Nothappy, Now, Winter Hat, Vest, 
8026, Red, Notfunny, What, Whereiswhale, Bringcash, 
8027, Vector, Multilevel, Moo, , , 
8028, Brown, Bed, Dangerous Smoke 2, Trendy W 2, Chemist, 
8029, Albino, Puppy Dog, Rainbow, Whereiswhale, Piercings, 
8030, Light Brown, Notfunny, Argh, War Helmet, Weapon Belt, 
8031, Neon Glow, Nothappy Longer, Whatever, , Ay Sailor, 
8032, Dark Brown, Round Glasses, Meh, , Iced Tee, Gold 2
8033, Black, Snake, Moo, Prison, Nowar, 
8034, Woke From Dead, Notfunny, Whatever, Hat 3, Robinson, Multiple
8035, Light Brown, Multilevel, Meh Dangerous Smoke 2, Leprechaun, Preshistoric, 
8036, Gotsun, Notfunny, Rainbow, Headset, Nofire, 
8037, Brown, Nothappy Longer, Whatever, Hiiya, Vegas Dancer, 
8038, Lady, Notfunny, Now, , Overalls, 
8039, Brown, Bed, Dangerous Smoke 2, Cook, Multicolor, 
8040, Machine, Undead, Argh, , , Silver 2
8041, Light Brown, Dontsee, Say Aah, Prison, Onthesea, Ear Cuff
