id, body, eyes, mouth, hat, clothes, earring
4000, Red, Dontsee, Moo, Whalehunter 1, Onthesea, 
4001, Easter Egg, Devourer, Meh, Hat 1, Praetexta, 
4002, Beige, Multilevel, Whatever, Trendy 2, Sweet Jacket, Silver 1
4003, Woke From Dead, Not Nice, Meh, , Cuba, 
4004, Nature, Multilevel, Funny, Hat 3, Not A Suit, 
4005, Woke From Dead, Love, Meh, Manbun, Cuba, 
4006, Blue, Not Nice, Meh Dangerous Smoke 2, Punk Short, Honololu, 
4007, Candy Cane, Love, Whatever, Hiiya, , 
4008, Light Brown, Notfunny, Meh, Warhat 2, Costume Old, 
4009, Black, See Stuff, Sounds, , , 
4010, Gotsun, Notfunny, Yesplease, , , 
4011, Dark Brown, See Stuff, Moo, Fetish, Vest, 
4012, No Signal, Puppy Dog, Meh Dangerous Smoke 2, Antique, Broken, Silver 2
4013, Black, Round Glasses, Argh, War Helmet, Honololu, 
4014, Neon Glow, Pirate, Moo, Trendy W 2, Overalls, 
4015, Blue, Not Nice, Higschool, , Praetexta, 
4016, Candy Cane, Dontsee, Whatever, , , 
4017, Black, Devourer, Dangerous Smoke 2, Trick Hat, Chemist, Multiple
4018, Blue, Puppy Dog, Meh Dangerous Smoke 2, Fetish, Gentleman, 
4019, Dark Brown, Multilevel, Dangerous Smoke 2, , , 
4020, Black, Dontsee, Meh Dangerous Smoke 2, Jesus Alive, Honololu, 
4021, Brown, Monocle, Now, Trendy 1, Fashion Accesory, 
4022, Dark Brown, Pressure, Nofeelingwell, Prison, Robinson, 
4023, Light Brown, Multilevel, Rainbow, , , 
4024, Dark Brown, Love, Say Aah, Cat Ears, , 
4025, Holo Rainbow, See Stuff, Whatever, Trendy 1, Piercings, 
4026, Black, Pressure, Buck Teeth, Whereiswhale, Moon, 
4027, Light Brown, Blocksun, Say Aah, Catch Robbers, Make Fire, 
4028, Black, Notfunny, Whatever, Whalehunter 1, Honololu, 
4029, Light Brown, Dead, Dangerous Smoke 2, Rabbit, Blank, Silver 2
4030, Red, Dontsee, Yesplease, , Wifeshirt 2, 
4031, Albino, Snake, Meh, Cat Ears, Poncho, 
4032, Lady, See Stuff, Funny, Hidehairs, Hipsterneck, 
4033, Dark Brown, Nothappy Longer, Nofeelingwell, , Sweet Jacket, Silver 2
4034, Machine, Notfunny, Rainbow, Trendy 1, Moon, 
4035, Brown, Bed, Funny, Leprechaun, Overalls, 
4036, Holo Rainbow, Money, Say Aah, Mafia, Shirt Of Flames, 
4037, Bloodbath, Pressure, Meh, , , 
4038, Dark Brown, Dontsee, Sounds, Trick Hat, Blank, 
4039, Light Brown, See Stuff, Hipster Stache, Antique, Rappers, 
4040, Blue, Round Glasses, Meh, Manbun, Praetexta, 
4041, Gotsun, Nothappy, Whatever, Notsmart, , Silver 1
4042, Machine, Devourer, Say Aah, Leprechaun, Hipster Shirt, 
4043, Albino, Puppy Dog, Whatever, Whalehunter 2, , 
4044, Brown, Pressure, Meh Knife, Side Shave, Knight Armor, 
4045, Dark Brown, Notfunny, Argh, , Vest, 
4046, Brown, Future, Meh Higschool, Service, Piercings, 
4047, Blue, Dontsee, Whatever, Hat 3, Gentleman, Silver 1
4048, Black, Bed, What, Mafia, Cuba, 
4049, Brown, Multilevel, Meh, , Multicolor, 
4050, Black, Notfunny, Now, Trendy W 2, Preshistoric, Silver 2
4051, Bloodbath, Blocksun, Whatever, Rabbit, , Gold 2
4052, Black, Bed, Meh Blow Bubble, Devil, , 
4053, Albino, Nothappy, Meh, Hat 2, Nofire, Silver 1
4054, Holo Rainbow, Monocle, Whatever, Fetish, Nowar, Silver 2
