id, body, eyes, mouth, hat, clothes, earring
6000, Dark Brown, Dontlook, What, , , Ear Cuff
6001, Light Brown, Nothappy, Meh, Jesus Alive, , 
6002, Brown, Pew, Argh, Whereisgiraffe, , 
6003, Woke From Dead, Dontlook, Whatever, Whereiswhale, , 
6004, Brown, Undead, Meh, , Rock, Gold 2
6005, Easter Egg, Pressure, Whatever, Prison, Hipster Shirt, 
6006, Black, Blocksun, Meh Sounds, , , 
6007, Candy Cane, Bed, Meh Dangerous Smoke 2, , , Multiple
6008, Black, Notfunny, Whatever, Have Fun 2, Wifeshirt 2, 
6009, Albino, Puppy Dog, Argh, Prison, Lingerie, Gold 1
6010, Gotsun, Pressure, Meh, Visor Hat, Cycle, Jesus
6011, Woke From Dead, Not Nice, Nofeelingwell, Fetish, Knight Armor, Silver 2
6012, Gotsun, Notfunny, Hipster Stache, , Alcatraz, 
6013, Machine, Money, Argh, Whalehunter 2, Robinson, Multiple
6014, Dark Brown, Pressure, Whatever, Hiiya, Praetexta, 
6015, Brown, Puppy Dog, Meh, Fetish, Vest, Gold 1
6016, Black, Bed, Whatever, Whereisgiraffe, Preshistoric, Ear Cuff
6017, Brown, Nothappy Longer, Bling, Whereiswhale, Ymca, 
6018, Africa Animal, Pressure, Argh, Hat 2, Wifeshirt 1, 
6019, Albino, See Stuff, Moo, Leprechaun, Trash, Silver 1
6020, Acid, Reality, Whatever, Hiiya, , 
6021, Black, Puppy Dog, Scowl, , Sweet Jacket, 
6022, Light Brown, Nothappy, Meh Dangerous Smoke 2, , Honololu, 
6023, Beige, See Stuff, Meh, Trendy W 1, Rock, 
6024, Checkered, Love, Whatever, Warhat 2, Sweet Jacket, 
6025, Neon Glow, Round Glasses, Moo, Whalehunter 2, , 
6026, Black, Undead, Say Aah, Service, Sweet Jacket, 
6027, Light Brown, Nothappy, Whatever, Warhat 1, Robinson, 
6028, Black, Notfunny, Meh, , Cuba, Silver 2
6029, Dark Brown, Pressure, Meh Blow Bubble, Manbun, Honololu, Multiple
6030, Checkered, Reality, What, , Vest, Jesus
6031, Color Dots, See Stuff, Moo, War Helmet, , 
6032, Blue, Round Glasses, Meh Dangerous Smoke 2, Trick Hat, , Multiple
6033, Holo Rainbow, Notfunny, What, Warhat 1, , Silver 2
6034, Au, Round Glasses, Funny, Cat Ears, Hipster Shirt, Silver 1
6035, No Signal, Pirate, Meh, , , 
6036, Brown, Nothappy Longer, Hipster Stache, Prison, , 
6037, Woke From Dead, Notfunny, Moo, Hiiya, Sweet Jacket, 
6038, Lady, Bed, Argh, , Onthesea, Gold 2
6039, Dark Brown, Notfunny, Say Aah, Whalehunter 2, Hipsterneck, 
